year,five_year_cohort,alberta_home_insurance_pct_change_since_2016,alberta_all_items_pct_change_since_2016,canada_home_insurance_pct_change_since_2016,ab_insurance_minus_ab_all_items_gap_pct_points,ab_insurance_minus_canada_insurance_gap_pct_points,catastrophe_event_count,total_revised_catastrophe_loss_cad
2016,2016-2020,0.0,0.0,0.0,0.0,0.0,0,
2017,2016-2020,2.4316038287813813,1.5413070283600616,3.0774497869750173,0.8902968004213196,-0.645845958193636,0,
2018,2016-2020,4.484074048070386,4.044389642416779,6.9803712720633015,0.43968440565360645,-2.496297223992916,0,
2019,2016-2020,7.936062159189294,5.844636251541302,13.276019476567246,2.0914259076479924,-5.3399573173779515,0,
2020,2016-2020,15.048327833555653,7.022194821208383,19.602099817407172,8.02613301234727,-4.553771983851519,1,1300000000.0
2021,2021-2025,23.326078307472663,10.431565967940838,25.65429093122338,12.894512339531826,-2.3282126237507157,1,700000000.0
2022,2021-2025,32.32933136745535,17.577065351418007,35.027388922702364,14.752266016037346,-2.6980575552470114,0,
2023,2021-2025,43.1767651945985,21.436498150431582,45.275410833840525,21.74026704416692,-2.0986456392420223,1,110000000.0
2024,2021-2025,57.89978702988601,24.963008631319372,56.52769324406572,32.93677839856663,1.372093785820283,1,3293000000.0
2025,2021-2025,74.64719511338902,27.392108508014836,64.48950091296408,47.25508660537418,10.157694200424942,2,399000000.0
