year,five_year_cohort,alberta_all_items_cpi_avg,alberta_home_insurance_cpi_avg,canada_home_insurance_cpi_avg,alberta_residential_construction_index_avg,catastrophe_event_count,total_revised_catastrophe_loss_cad
2016,2016-2020,135.16666666666666,356.07500000000005,219.0666666666667,,0,
2017,2016-2020,137.25,364.73333333333335,225.8083333333333,58.05,0,
2018,2016-2020,140.63333333333333,372.0416666666667,234.35833333333335,60.75,0,
2019,2016-2020,143.06666666666666,384.3333333333333,248.15,61.675,0,
2020,2016-2020,144.65833333333333,409.6583333333333,262.0083333333333,64.1,1,1300000000.0
2021,2021-2025,149.26666666666668,439.1333333333334,275.2666666666667,80.425,1,700000000.0
2022,2021-2025,158.92499999999998,471.19166666666666,295.8,97.05,0,
2023,2021-2025,164.14166666666668,509.81666666666666,318.25,100.0,1,110000000.0
2024,2021-2025,168.90833333333333,562.2416666666667,342.90000000000003,105.65,1,3293000000.0
2025,2021-2025,172.1916666666667,621.875,360.3416666666667,110.425,2,399000000.0
